CODSEG,AREA
100000,14476.49605
101001,122200.006483
101002,151608.667595
101003,99377.280385
101104,54395.509826
101105,41055.685544
101204,54773.033907
101205,67419.509891
102001,190430.913834
102003,76777.766262
102004,75561.470296
102102,78504.109521
102202,61156.682944
103003,95525.942946
103101,101795.047432
103102,33700.474042
103104,51668.921385
103201,44533.632377
103202,42897.448588
103204,50986.51064
104001,94632.833959
104102,103623.890089
104103,63650.889137
104104,58220.780146
104202,101964.071002
104203,64604.899978
104204,78484.971896
105101,73035.078421
105102,53215.700841
105103,62727.52326
105104,66527.490651
105105,72898.255311
105106,52309.573115
105201,60919.060972
105202,73216.205344
105203,63536.69518
105204,61304.17918
105205,115898.216751
105206,85199.234323
106101,78676.686649
106102,77624.916043
106103,60375.514098
106104,43407.543105
106201,95132.436119
106202,53602.72541
106203,63884.849193
106204,44007.259903
106304,26085.275484
107001,86447.676821
107009,147290.483305
107010,95864.097315
107102,58069.949723
107103,38364.719314
107104,55455.177329
107105,36367.53246
107106,75966.969951
107107,68030.815525
107108,65071.001969
107202,61000.202334
107203,45961.253112
107204,52955.324413
107205,83124.748105
107206,89843.517957
107207,65362.312409
107208,58062.661933
107303,39265.327649
108001,86559.774352
108002,163770.377888
108003,162829.292919
108004,146078.612264
108006,183303.211182
108007,96879.99934
108008,112682.153093
108009,94400.430821
108010,222704.426897
108012,86688.928748
108013,121485.671352
108105,142704.964934
108111,97955.797777
108114,86724.044901
108205,92863.696024
108211,69854.373955
108214,39885.620844
108314,72947.392761
109001,596635.323158
109002,205830.67478
109003,516642.202646
109004,253160.500782
109005,361351.358853
109006,448552.052351
109007,216209.82362
109008,318534.570797
109009,215812.760418
109010,220593.96512
109011,212289.247935
109012,99427.668821
109013,212511.575758
109014,179822.545838
109015,274907.769995
109016,136543.326537
109018,255117.10155
109019,210951.652985
109020,199734.632406
109021,155164.803147
109022,220524.408946
109023,123869.423525
109024,147440.359046
109025,294634.952198
109026,215115.595583
109027,201315.898114
109028,121783.206802
109029,286539.091615
109030,187447.849107
109031,171935.49266
109032,247839.445062
109033,439286.525643
109034,617648.562461
109035,599218.480608
109036,281057.21921
109037,513663.313895
109038,131086.247101
109039,13149300.0
109040,4910610.0
109041,9702430.0
109042,8982340.0
109043,5611460.0
109044,9341740.0
109045,3975500.0
109046,3750440.0
109047,767349.384621
109048,3418360.0
109049,2243990.0
109050,5126740.0
109051,2420720.0
109052,1315320.0
109053,6890160.0
109054,1380730.0
109055,15641.019471
109056,1620470.0
109058,5977820.0
109059,6517540.0
109060,7354460.0
109061,3092910.0
109117,736847.391658
109155,359580.380061
109157,3238830.0
109217,160380.307171
109255,1484770.0
109257,953246.986028
110004,124220.350681
110005,143413.0582
110006,132612.134741
110008,95552.894077
110009,209495.264429
110012,178411.134578
110015,90126.722759
110021,87505.392098
110040,278453.189364
110041,213479.279958
110042,163170.604916
110043,205940.659543
110044,185907.432107
110045,202489.236376
110047,709626.105431
110051,545845.108616
110052,294829.311246
110053,216760.129521
110054,288357.067969
110055,435288.262547
110056,1386420.0
110057,325458.715677
110058,451033.895282
110059,454697.718919
110060,274544.186641
110061,553339.931877
110062,190900.200736
110063,382609.555726
110064,634610.616881
110065,382177.559533
110066,321845.60593
110067,258991.535913
110069,278300.205708
110070,266538.090669
110071,182041.226374
110072,334211.406827
110073,219220.718615
110074,233520.9985
110075,374999.307231
110076,879168.778747
110077,529075.237748
110078,785843.152166
110101,163244.054312
110102,80518.545414
110103,89268.089209
110107,68464.541415
110110,72407.747491
110111,82728.756075
110113,69304.829141
110114,62103.665138
110116,91676.963025
110117,125701.470716
110118,122528.74343
110119,85912.338878
110120,639681.735135
110122,105058.267826
110123,76223.432984
110124,98165.323632
110125,155152.848634
110126,138591.64679
110127,124395.088036
110128,315636.607966
110129,142912.02287
110130,103093.959686
110131,68022.730221
110132,102834.598897
110133,102371.590716
110134,97940.377899
110135,150394.2872
110136,91832.097535
110137,138629.818889
110138,433373.508731
110139,303072.457786
110146,341074.403737
110148,369090.213407
110149,356464.160871
110150,110897.862137
110168,472464.750242
110201,107250.703531
110202,72049.236209
