CODSEG,value
111238,2
110149,0
111236,2
111237,1
110148,2
111234,2
110146,2
109157,2
111233,3
122130,3
121040,2
121043,2
109155,1
121038,0
121037,3
122128,2
121039,1
123212,2
122123,1
121034,1
121033,0
123211,3
122125,2
121035,3
110150,1
110138,1
110139,2
110136,3
110137,3
110134,0
110135,2
110132,1
110133,3
123210,2
121031,1
122120,2
111229,0
123205,1
121027,3
121026,1
123207,1
122118,1
123206,0
123201,1
121023,0
122114,3
121024,2
111230,2
123209,3
123208,3
122119,1
110128,2
110125,3
111214,0
110126,3
110123,0
199099,0
110124,1
111211,1
110122,2
121021,1
121020,2
110129,1
122105,2
121016,0
122104,1
121018,1
121017,1
121012,2
122101,1
121011,2
122103,2
122102,0
121013,0
110130,0
110131,0
121019,1
110116,3
111206,2
110117,3
110114,2
110113,0
110110,2
110111,0
121010,1
111209,3
110118,2
111207,2
110119,0
121005,0
121246,2
121007,3
121001,3
121003,0
121244,3
121002,1
110120,1
199072,1
112129,0
199071,3
112128,3
199070,2
112127,1
199077,1
112125,3
199075,0
113213,1
124111,2
124112,1
124110,1
124108,2
124109,0
124106,3
124107,3
124102,2
111286,1
112132,0
112130,3
112119,1
112117,0
111028,1
111268,1
112112,3
101001,0
124101,2
123003,3
123004,1
111032,1
112120,2
111031,0
111018,1
111019,1
199050,0
112107,3
111016,1
112106,1
111017,2
112104,2
111015,2
199054,0
110168,2
199053,0
111012,3
111013,3
199052,1
113432,2
111263,3
199048,1
113442,1
199047,3
199046,2
111020,3
199045,0
101204,2
101205,2
199049,3
111008,1
111005,0
111003,2
111004,3
199065,3
111001,0
199064,0
111002,3
121048,0
124318,2
122134,3
121045,2
121047,3
111010,3
199058,1
199057,2
199056,0
124319,2
113019,2
113018,0
113017,0
113016,0
111078,1
113015,3
113014,2
111079,3
114105,1
125001,0
114107,3
114108,1
111080,1
114111,2
114112,0
114113,3
113024,1
113023,0
103202,1
111085,3
113022,3
113021,1
103204,1
111083,1
113020,2
111084,3
111081,0
111082,1
113009,0
113007,1
113006,1
111069,2
113005,3
113003,1
111076,0
113012,2
111074,0
113011,0
113252,3
113010,1
111073,1
113239,1
113236,1
111059,1
111298,2
113234,2
124126,1
124124,2
124125,0
113002,1
101002,3
101003,2
113001,3
113242,3
111061,2
113240,0
111062,2
111060,0
111289,1
112136,0
112135,1
111287,1
103201,2
124122,3
124123,2
124120,2
124121,1
124119,1
124117,0
124118,1
124115,1
124116,1
124113,3
124114,1
102102,3
113232,1
104102,1
104103,3
115001,2
115002,3
105202,1
105203,3
113049,3
113048,1
105201,0
113047,2
104104,1
113051,3
113050,3
113038,2
113037,1
115214,3
114125,2
113046,2
113045,3
113044,1
113041,2
113029,2
113028,1
113027,1
113026,2
113025,0
115203,0
115204,1
115205,0
115206,2
115207,1
114119,0
111090,0
111091,1
115210,0
114121,0
114122,2
115212,0
117633,3
111099,1
113033,2
111097,2
113031,1
113030,2
111092,1
106204,3
106203,3
106202,2
106201,0
116007,1
116006,3
116009,0
116008,0
117341,3
116012,0
116011,3
117103,1
116014,0
117102,3
116016,2
117104,3
116015,1
105106,3
107303,2
117330,1
116001,3
116002,1
116005,0
116004,0
104001,3
116227,0
116226,2
117319,2
116231,3
116236,2
105103,0
105104,1
105101,3
105102,1
116225,1
117139,1
118228,1
118229,3
118230,2
117141,1
117140,1
107106,0
107105,0
107104,1
107103,3
118219,1
117129,3
117128,1
118217,3
118218,0
118222,0
116043,2
118223,1
116042,1
118220,1
116045,0
117134,1
117133,2
118226,3
118227,0
118224,2
117138,1
118225,2
117130,1
116041,2
116040,2
118208,1
116029,0
117118,1
118209,1
116028,3
118206,0
118207,1
117119,1
118211,3
116032,1
118212,2
117123,2
116034,1
117122,2
116033,1
118215,2
117125,0
117124,0
118216,3
116035,3
116038,2
118213,2
116037,0
116030,2
116018,0
117107,2
116017,1
117109,0
116019,3
117108,1
118201,1
116020,1
116022,0
117111,0
117114,2
118204,0
117113,2
118205,3
117116,3
118202,1
117115,3
118203,2
199026,0
199267,2
199024,1
199266,1
199023,1
118031,1
199027,1
199040,2
199044,0
199043,1
199042,2
199041,2
110538,1
119114,2
119111,0
119112,0
199039,3
108205,0
199251,2
119102,1
119101,3
119106,1
119107,0
199002,2
107108,0
107107,1
199001,1
118010,2
199007,1
199006,3
108214,1
199022,0
199021,3
108211,0
199255,1
109117,1
110103,3
110101,2
110102,3
121241,3
110107,2
121236,3
121232,1
120145,3
199225,1
110333,0
121230,0
110338,0
121225,3
120138,1
120131,2
120132,1
121222,1
121229,1
121228,1
108006,3
108007,0
108008,0
108001,1
108002,2
108003,1
110320,1
108004,2
120130,0
110328,1
120125,3
199208,1
121215,2
120121,3
120122,3
199204,2
108012,1
108013,0
108010,3
110319,3
110316,0
121204,3
199210,0
108009,0
120117,1
121206,0
121209,0
121208,1
112207,1
112206,2
110268,0
112204,2
109035,1
111114,2
109036,1
111111,2
113532,0
109037,1
109038,3
109031,0
109032,3
122011,1
109033,3
109034,1
122010,1
109030,1
122006,1
122008,2
122007,2
122009,1
111106,0
111107,3
110015,0
109046,0
109047,3
109048,0
110012,2
109042,3
109043,3
109044,0
109045,2
109040,0
111109,3
109041,2
121144,0
121146,1
122234,1
110021,0
110006,2
110248,2
110249,0
109018,1
110246,1
110004,3
109019,3
110005,2
109013,0
109255,3
109014,1
109257,2
109015,0
109016,2
109010,1
109011,2
121142,1
122230,0
121141,2
109012,3
110008,1
110009,1
120047,0
121136,3
120048,3
122225,1
120049,0
122228,2
120043,3
121132,0
120044,2
120046,2
122223,1
110250,3
110237,3
109028,0
110238,0
109029,0
110235,1
110236,3
110233,2
109024,3
110234,3
109025,2
110231,1
109026,0
110232,2
109027,2
109020,3
109021,1
120040,2
120041,1
109022,2
122220,1
121130,2
120042,2
109023,2
110239,2
120036,1
121125,1
120037,1
122214,1
121128,0
120039,2
121122,2
120034,3
120035,3
122219,1
121129,2
122218,1
112009,0
112008,1
112005,0
113336,0
110069,2
110066,0
112003,2
110067,1
112002,1
124225,3
124223,0
124224,0
110075,2
113342,1
112011,2
110076,0
112010,0
110073,3
110074,2
111163,3
101104,1
101105,3
110071,1
110072,3
110070,0
110059,2
110057,3
112236,2
110058,0
112235,1
110055,2
110056,0
124221,3
124222,3
124220,2
124219,2
124216,1
124217,1
124214,3
124215,0
124212,3
124213,2
110064,1
112001,0
102202,1
110065,3
110062,0
110063,0
110060,0
110061,0
112229,1
112228,2
111137,2
112227,2
111138,0
112225,0
111135,0
110047,1
111136,1
109058,2
111133,2
109059,0
110044,0
111134,2
110045,0
122031,2
109053,0
124211,0
109054,1
122033,3
122032,0
109050,3
109051,2
109052,3
124207,2
124208,1
122027,3
122029,2
124206,0
122024,2
123112,0
122026,0
124201,1
124202,2
110054,0
199167,3
110051,3
112230,2
110052,0
199166,2
124209,3
112217,0
111129,1
112216,2
112212,3
123111,2
122022,3
123110,3
122021,3
109060,1
109061,0
112219,0
122017,1
123106,3
123105,2
122016,1
123108,2
123107,3
123102,0
122013,1
123101,0
122012,3
122015,1
110042,1
112220,1
110043,0
110040,2
111130,0
110041,0
123109,3
113139,2
113136,3
102001,1
113135,1
114225,0
124027,0
113140,1
103102,0
114213,0
114214,0
115305,2
115306,3
114219,0
114220,2
114221,3
114222,1
115312,2
113134,2
102004,2
102003,3
111198,0
113132,1
112026,2
112024,3
113113,3
114205,1
114207,2
114208,0
124005,2
114211,3
124003,3
124004,0
114212,1
112034,3
111186,0
112033,1
111187,0
112031,2
112018,3
111168,2
112015,2
110077,0
112014,2
110078,2
112013,1
112023,3
113352,2
114026,2
116210,3
117303,1
116213,3
115104,2
114015,0
115105,2
115106,2
114017,2
114018,1
115107,3
115108,3
115109,1
115110,0
115111,0
114023,0
114024,2
115114,2
104202,1
114006,1
114009,3
114010,0
103104,2
114001,0
114002,3
114003,3
104203,1
104204,0
113152,3
117216,1
116127,2
117219,2
117218,3
118306,3
116131,1
117222,0
117224,2
118315,1
117223,1
116136,3
117225,3
117208,1
117207,1
117209,0
117211,2
117213,2
117215,2
116126,1
117214,3
116125,0
116110,1
117202,0
116113,1
117204,3
117203,0
105204,1
105205,3
116339,2
117430,2
115013,0
106304,1
118107,1
118108,1
118112,3
119201,0
119202,0
118113,0
117021,1
118111,3
119205,2
117026,2
118116,2
118117,0
119206,1
118114,2
118115,2
119204,0
117027,2
107208,1
107206,1
117020,3
108314,1
118101,2
118102,1
117010,0
117012,2
118105,0
118106,1
117017,3
118103,3
118104,1
106101,0
106104,3
106103,2
106102,1
117239,3
117241,3
117001,0
117006,2
117005,1
117240,0
107205,0
107204,1
107203,0
117228,0
116139,0
118319,1
117229,2
118321,1
117230,2
118320,2
117234,0
108105,0
199151,1
107010,2
110428,1
119003,2
120225,2
119008,0
120221,1
120222,0
107009,2
108111,2
108114,2
110419,0
121304,0
199155,3
120217,1
118129,2
117044,2
117043,0
118130,2
117042,2
107001,2
118118,0
118119,1
119212,1
118123,2
117032,0
118121,2
117035,0
119211,0
118122,2
117037,0
118128,1
117036,0
119214,0
118125,2
118120,2
117031,0
110226,2
110227,2
110224,2
110225,0
199110,0
110222,3
110223,3
110220,0
110229,0
121115,2
122204,0
120026,1
122203,2
120027,2
199108,0
122205,1
120028,3
120023,3
122202,0
122201,1
120024,1
199103,2
120029,0
109006,0
110216,0
109007,2
109008,3
110214,3
109009,3
110211,3
109002,2
109003,1
109004,1
110210,2
109005,2
110219,3
110217,0
110218,1
121104,3
120014,2
120015,3
121106,0
120016,2
120010,3
120011,0
120012,2
120013,3
121108,1
120018,2
120019,0
121109,2
109217,2
110202,2
110203,2
110201,0
120003,1
120245,1
120004,2
120005,1
120006,2
120001,0
120002,0
120007,0
120008,0
120009,2
119009,1
110438,3
119015,0
119013,1
120230,0
120231,2
119016,0
119010,2
120238,2
