CODSEG,value
17284,2
17285,0
4970,0
17286,1
17287,0
4971,0
3640,2
4969,2
2306,1
3638,1
2305,1
3639,2
2304,2
2303,0
2302,1
2301,1
3633,2
3634,2
17299,2
17295,0
17296,2
4980,0
17297,0
4981,2
17298,2
3651,3
2320,2
17291,3
17292,0
17294,3
2317,3
1,1
2316,0
2315,2
2,2
3,1
2314,0
4,1
2313,2
5,3
2311,0
6,0
2310,1
7,0
8,2
4972,1
3641,1
4973,2
9,1
3642,2
3643,0
4974,2
3644,0
4975,0
3645,1
4976,1
3646,0
2319,1
3647,3
2318,0
3648,2
18597,0
17266,1
18599,0
18593,1
18594,0
3660,1
17265,3
18596,3
3662,1
2331,1
1000,0
2330,2
18590,0
17260,1
17261,3
18592,2
2328,1
2327,1
2326,2
2325,0
2324,1
2323,0
2322,2
4986,1
4987,0
3657,0
3658,1
2329,1
17278,2
17274,0
3672,0
17275,3
17276,1
3673,2
2342,0
2341,0
17270,0
2340,0
17271,1
17272,3
2339,2
1008,1
2338,0
1007,0
1006,1
2337,2
2336,1
2335,2
2334,0
1003,1
2333,2
2332,0
4994,1
3663,1
3665,0
4997,0
3666,0
3668,2
4999,0
17244,0
17245,1
17246,1
3680,1
17240,0
18571,3
17241,0
18572,0
20891,0
3683,1
17242,0
3684,1
17243,3
2353,3
2352,2
1021,0
2351,2
1020,1
2350,0
18570,0
1019,0
1018,3
2348,2
1017,0
1016,1
2346,1
1015,1
2345,1
1014,0
2344,2
1013,1
1012,0
2343,0
3674,2
3675,0
3677,0
3678,0
18579,1
17249,0
17255,2
18587,0
3691,0
3692,3
18582,2
17251,2
18583,2
17252,2
3693,0
17253,2
18584,2
3694,1
3695,0
2364,2
1033,1
1032,0
2363,1
2362,1
1031,3
2361,0
18581,0
2360,1
2359,0
2358,1
2357,0
2356,0
2354,0
1023,3
3685,1
3686,0
3687,0
3689,2
18553,0
19885,1
18554,0
20873,1
19887,0
18555,2
19886,2
20871,3
19881,0
20870,1
18550,0
18551,0
17220,3
18552,0
19882,2
2375,0
1044,0
2374,3
2373,0
1042,3
2372,2
1040,0
2371,0
2370,3
1039,2
2369,0
1038,2
1037,1
2368,0
2367,0
2366,0
1035,0
2365,0
1034,2
3697,0
3698,1
3699,3
17226,2
19889,3
19888,0
17227,0
17228,1
17229,2
17233,1
17234,0
18565,1
17235,0
18567,0
19892,0
17230,0
19891,0
18562,0
19893,0
2386,2
1054,0
2385,0
2384,0
1053,0
19890,3
1052,1
2382,1
2381,1
1050,3
2380,1
1049,1
2379,0
1048,2
2378,1
1047,3
2377,3
1046,1
2376,1
18568,0
18569,0
25748,0
25741,0
24410,3
2397,3
25740,1
1065,1
2396,1
2395,1
25743,2
1064,2
1063,0
2394,0
2393,1
25745,0
1061,0
25744,3
1060,3
2391,0
25747,2
2390,2
25746,0
11108,1
13769,1
12438,2
12439,1
1058,0
2387,3
12433,0
12430,0
12431,1
12436,0
11104,2
12437,2
12434,0
12435,0
11105,2
13770,0
12440,0
13771,2
25752,1
1077,0
1074,1
1073,1
1072,0
1071,2
1070,1
1069,0
2399,2
2398,3
12443,1
13774,0
12441,1
13772,2
11113,3
13773,1
11112,0
13778,3
11115,0
13779,0
13776,0
12445,3
13777,2
12446,2
25721,2
25720,0
1084,2
1083,2
12418,2
12416,0
12417,0
1079,1
12410,2
13745,3
12415,0
13746,0
12412,2
13744,3
1091,1
25738,1
24407,3
1090,2
25737,1
25739,2
1099,3
1095,1
25734,0
24403,0
1093,1
25736,2
25735,2
1092,0
12427,2
12428,0
12422,2
12420,3
9807,1
9806,0
12424,2
25704,1
25707,3
25706,1
25709,2
25701,0
25700,0
25703,1
25702,0
13725,0
13726,2
9814,2
9818,1
9816,3
9817,1
13722,1
9832,1
25719,2
9830,0
9831,2
25710,0
25712,2
25711,1
25714,0
25713,1
12407,0
12405,1
13736,2
201,3
12406,2
202,0
203,2
204,0
206,2
13730,1
13731,3
207,0
208,0
209,2
12403,0
9829,2
12404,1
13735,2
12401,2
12402,0
9843,3
8513,2
9844,1
9842,3
210,0
211,0
212,3
213,2
13709,3
214,0
13708,3
217,1
9836,3
9837,0
219,3
13701,1
9838,2
8508,0
9839,0
8520,2
8521,0
9853,0
220,0
221,2
13717,0
222,1
13714,0
223,1
224,3
225,1
227,3
228,0
229,0
8517,1
9845,1
8514,0
8515,3
13712,0
13710,0
8518,0
13711,3
12391,3
8530,0
7200,0
12390,0
8534,0
9865,0
7201,2
12396,1
8532,1
11064,1
9864,3
24377,2
23046,2
23047,1
24379,2
23048,0
24378,0
23049,0
230,0
231,0
232,3
233,0
24371,0
235,0
24373,0
236,3
24372,1
237,3
24375,0
238,3
239,2
8527,2
11069,0
12397,2
8529,0
11070,0
8542,0
7211,1
9876,2
8545,1
8546,0
9874,0
8543,3
7215,2
7214,0
8544,2
24387,0
240,2
241,1
242,1
244,0
245,1
23051,2
24384,2
23052,3
248,2
24386,1
23054,0
24385,2
249,2
11077,0
8537,0
7220,1
8553,1
12370,3
8556,2
12373,2
7223,2
11040,0
8554,2
25688,0
25687,2
250,3
251,2
252,0
253,0
254,0
255,1
257,1
258,0
259,3
7217,0
7216,1
12378,0
8547,0
9879,2
8548,0
11048,0
8563,0
7231,0
8564,2
12384,0
7234,1
12385,3
7237,1
12382,1
9897,3
8566,2
25697,3
23035,0
25696,2
25699,0
24368,2
23037,3
24367,1
260,2
23038,0
261,2
24369,0
23039,1
263,1
264,1
265,3
266,0
25691,0
267,0
25690,0
268,1
25693,1
25692,0
25695,1
25694,2
12388,3
11055,0
12389,2
7227,0
11058,0
8558,0
12387,2
8574,3
8575,2
8572,2
7244,0
8573,1
7243,0
7246,1
7245,1
13683,2
11021,3
7248,3
11020,3
24333,3
26996,1
25664,0
26997,0
24332,1
24335,1
25666,0
270,3
25665,0
23004,0
8570,3
271,2
24337,1
25668,3
272,1
8571,0
23006,0
25667,2
273,0
24339,2
23007,0
26998,0
274,1
26999,0
24338,3
25669,0
275,0
277,1
278,0
279,1
26991,0
24330,0
12355,0
13687,1
7238,0
8569,1
13684,1
11024,3
12359,1
13688,2
11029,0
13689,0
11028,0
8585,0
13690,3
7255,0
11030,2
11032,1
12360,2
11031,2
12361,3
25674,1
24343,0
280,0
24346,2
281,0
284,0
285,3
7250,1
286,2
287,2
288,1
289,3
24340,0
25670,0
23010,0
25673,2
25672,1
12366,2
11033,2
12367,0
13698,2
11036,0
11038,0
11037,0
11039,0
12369,0
24319,0
24318,0
7266,3
8594,3
13660,1
13661,0
14990,0
25642,2
24311,1
290,1
291,1
25644,1
292,2
25643,2
293,2
26978,3
25646,1
294,1
26979,3
24314,2
295,3
24317,0
25648,0
8590,0
296,1
8591,0
26977,2
24316,2
297,1
11008,1
12339,3
299,3
26970,0
14996,0
14995,0
12331,0
13662,1
12332,1
13668,1
12337,1
12338,1
14999,0
14998,2
7277,0
12341,0
24322,1
26983,2
26984,0
26988,0
24327,1
26982,1
24320,1
26980,2
13675,1
13676,0
13673,3
11014,2
12342,0
12343,0
11015,3
13677,2
12346,0
13678,3
18531,0
20851,0
17201,0
19862,0
17202,0
7288,3
19865,2
18533,2
17203,1
18534,3
19861,0
19860,1
18530,0
7280,0
7281,0
20854,0
18539,0
19867,2
18535,0
17205,2
18537,0
17206,2
18538,0
19874,0
17211,2
19873,2
18543,2
7296,1
17213,2
18544,2
17214,0
20860,0
19872,1
17210,3
20869,1
7293,2
20866,0
17219,1
19878,0
17215,2
19877,0
17216,0
17217,1
17218,0
18510,1
18511,2
19843,0
19842,0
20832,2
20831,0
20829,2
20828,2
19849,0
18518,0
19845,1
19844,2
18516,0
20841,3
19852,1
18521,0
20849,3
20848,2
20845,0
20842,2
3707,1
3708,2
3709,1
18529,1
19856,0
18525,0
3702,0
19857,1
3703,1
19820,0
23081,0
3716,3
23082,0
23083,0
3717,0
3718,0
20809,0
3719,2
20806,0
19829,0
19828,1
3711,1
3712,1
3713,1
19825,0
23080,2
19830,3
19831,0
20827,1
20826,0
20824,1
20823,0
20822,3
20821,2
20820,0
23092,3
3726,1
3727,0
23093,2
23094,0
23095,0
3729,0
20819,2
23098,0
23099,2
18506,1
3720,1
3721,3
18509,0
3722,1
18503,1
3724,2
18505,0
3725,1
11081,0
11084,3
23067,1
24398,0
2405,0
2404,1
3738,2
2403,0
24393,3
2402,1
23062,1
2401,1
24395,0
24394,3
19805,0
3730,1
19807,3
3731,0
3732,0
2409,0
2408,1
2407,2
19803,1
2406,0
3736,0
11096,1
11098,3
2416,0
23071,0
2415,0
2414,2
23072,2
2413,1
23073,1
2412,2
23074,1
2411,0
2410,3
23077,0
3740,0
19815,2
3741,2
11099,0
3742,0
3743,0
3745,3
2419,0
19814,2
2418,0
2417,2
3747,2
16079,0
2430,1
2427,0
3759,2
13805,1
2426,2
2425,1
2424,3
2423,0
13808,1
13806,0
2421,2
2420,0
13800,2
13801,2
2429,2
2428,2
3770,0
3771,1
16089,0
2441,2
16080,3
1110,2
2440,3
16084,1
16081,0
1107,2
13815,2
2438,1
2437,0
1106,3
2436,3
13813,0
2435,0
13814,2
1104,0
2434,2
13819,0
2433,3
2432,1
2431,0
1100,0
3762,2
3764,1
13811,0
1109,0
3768,3
3769,2
1108,0
2439,0
16054,0
16058,0
16057,0
3783,1
16056,0
2452,1
1121,1
2451,0
1120,0
17382,0
2449,0
1118,0
1117,0
2448,0
2447,0
1115,2
2446,1
2445,2
1113,3
2444,3
1112,0
2443,2
2442,2
3774,0
3777,2
3778,1
3779,0
1119,2
3790,0
3792,1
17395,3
1132,2
2463,0
1131,3
2462,1
1130,0
2461,1
2460,0
1128,3
2457,0
1125,0
1124,2
2455,0
2454,1
2453,3
3784,1
3785,1
3786,1
3787,1
18697,0
17366,0
17367,0
18698,3
18699,0
17368,0
16037,0
17361,0
18692,0
16036,3
17362,0
16035,3
16034,2
17364,0
2474,0
1143,2
1142,1
2473,0
2472,2
18690,3
1141,3
18691,1
17360,1
2470,1
1139,1
2469,0
1138,1
2467,2
1134,0
2464,0
16039,1
3797,0
16038,0
3798,2
3799,2
16044,2
17376,2
16043,0
16042,1
17378,3
16041,2
17379,0
16047,3
17374,3
17375,2
1154,0
1153,0
2484,0
1152,2
2483,0
17370,1
16040,2
2480,0
2479,2
2478,0
1147,3
1145,1
2476,3
2475,0
1144,3
16049,2
16011,3
17343,0
18677,0
18671,0
17341,1
18672,1
16012,2
1165,1
2496,0
1164,1
2495,0
1163,1
2494,0
1162,3
2493,2
1161,1
20999,3
2491,1
1160,0
20998,0
2490,1
20997,1
1159,3
2489,2
1158,2
2488,2
1157,3
2487,1
1156,1
2486,0
17347,1
18678,0
18679,1
17348,1
18685,0
16022,0
17354,1
18686,2
16021,3
17355,1
16020,3
18687,3
17356,1
17357,0
18688,2
18681,0
17350,2
16026,1
16025,1
18682,2
17352,3
17353,0
16023,2
1174,0
1173,0
2499,2
1167,3
2497,0
16027,0
18689,0
17358,3
13881,0
1186,2
24533,3
24532,0
23203,0
1182,2
23205,1
1181,1
25868,2
1180,0
12559,0
1178,0
12553,0
11221,3
13884,0
13885,0
12554,0
13882,0
11223,2
12552,2
13883,0
12557,0
11225,1
12558,0
12555,1
12556,0
13887,1
12560,3
13891,0
12561,3
13890,2
1197,1
25875,1
1196,2
25874,0
24546,0
1193,2
24545,1
23215,0
25879,3
25878,2
1191,0
11239,1
9908,0
25871,2
1189,0
1188,1
9902,0
13895,1
13896,1
12562,0
13893,3
13894,2
12563,2
11236,0
12568,0
12569,2
12566,2
13898,0
12567,3
11237,0
25848,1
24516,2
25842,2
25841,3
24512,2
25843,3
11207,0
12539,0
11209,0
11208,0
12531,0
12532,3
11201,1
13860,0
9912,0
13866,2
11203,2
13865,1
8600,0
13870,2
8601,0
25851,0
25853,0
25855,0
11218,0
11217,0
13879,1
11219,1
300,2
301,0
302,1
303,0
304,1
11210,1
305,1
12543,3
306,0
307,2
13871,1
12540,2
9922,0
11212,0
11211,2
12541,1
308,0
13872,1
9923,3
12546,2
13877,2
309,0
9928,0
11213,1
13878,2
13875,1
13876,0
25828,3
25827,0
25820,0
25824,0
13848,1
12517,2
12518,1
12515,0
13846,1
13847,0
12516,0
12519,3
316,3
8604,1
9935,1
317,0
8605,1
318,3
8603,0
319,3
9934,2
13844,0
9939,0
12513,3
8608,0
13845,0
12514,3
13842,3
13843,0
25837,0
9950,2
24505,0
25839,1
25838,0
9954,0
25831,0
24500,3
24502,1
25832,0
24501,0
24504,2
24503,3
13859,0
12529,0
321,3
13857,0
12526,1
13858,1
12527,1
323,1
324,2
325,0
326,1
8615,3
327,1
9946,0
8616,3
13852,0
12521,0
9947,1
8613,0
8614,2
13850,0
12524,0
12525,0
8617,3
12522,3
13854,1
12523,2
16099,0
25804,0
25803,0
16096,0
9965,0
9962,0
