CODSEG,value
111238,2
110149,1
111236,0
111237,0
110148,3
111234,3
110146,0
109157,0
111233,3
122130,2
121040,1
121043,0
109155,3
121038,3
121037,1
122128,0
121039,1
123212,3
122123,3
121034,1
121033,0
123211,1
122125,1
121035,0
110150,0
110138,1
110139,1
110136,0
110137,0
110134,0
110135,0
110132,3
110133,0
123210,0
121031,1
122120,2
111229,2
123205,1
121027,1
121026,1
123207,0
122118,0
123206,1
123201,1
121023,0
122114,2
121024,0
111230,2
123209,2
123208,0
122119,2
110128,0
110125,1
111214,3
110126,1
110123,2
199099,0
110124,0
111211,3
110122,0
121021,1
121020,1
110129,0
122105,0
121016,1
122104,0
121018,2
121017,2
121012,0
122101,0
121011,2
122103,1
122102,1
121013,0
110130,0
110131,1
121019,0
110116,2
111206,1
110117,0
110114,0
110113,0
110110,3
110111,0
121010,0
111209,1
110118,1
111207,2
110119,1
121005,1
121246,0
121007,1
121001,3
121003,0
121244,2
121002,0
110120,1
199072,1
112129,2
199071,0
112128,3
199070,0
112127,0
199077,0
112125,1
199075,0
113213,1
124111,3
124112,0
124110,2
124108,1
124109,0
124106,0
124107,2
124102,1
111286,3
112132,1
112130,0
112119,2
112117,0
111028,2
111268,2
112112,1
101001,2
124101,0
123003,3
123004,1
111032,0
112120,1
111031,3
111018,0
111019,0
199050,1
112107,2
111016,0
112106,1
111017,1
112104,0
111015,2
199054,0
110168,0
199053,1
111012,1
111013,0
199052,0
113432,0
111263,0
199048,3
113442,0
199047,1
199046,1
111020,3
199045,1
101204,1
101205,1
199049,0
111008,1
111005,1
111003,0
111004,3
199065,1
111001,0
199064,0
111002,1
121048,2
124318,0
122134,1
121045,0
121047,0
111010,0
199058,0
199057,0
199056,0
124319,0
113019,0
113018,0
113017,1
113016,0
111078,3
113015,2
113014,1
111079,0
114105,2
125001,0
114107,1
114108,1
111080,0
114111,0
114112,0
114113,0
113024,0
113023,0
103202,0
111085,0
113022,1
113021,0
103204,1
111083,0
113020,0
111084,0
111081,0
111082,3
113009,0
113007,0
113006,1
111069,0
113005,2
113003,2
111076,0
113012,2
111074,1
113011,1
113252,0
113010,0
111073,1
113239,0
113236,1
111059,0
111298,0
113234,1
124126,2
124124,0
124125,1
113002,1
101002,0
101003,1
113001,2
113242,1
111061,1
113240,0
111062,2
111060,1
111289,2
112136,0
112135,1
111287,0
103201,1
124122,3
124123,0
124120,1
124121,2
124119,3
124117,1
124118,1
124115,0
124116,0
124113,1
124114,2
102102,2
113232,2
104102,2
104103,1
115001,0
115002,0
105202,2
105203,0
113049,2
113048,1
105201,1
113047,0
104104,1
113051,1
113050,0
113038,1
113037,2
115214,2
114125,3
113046,3
113045,2
113044,3
113041,0
113029,2
113028,0
113027,1
113026,1
113025,1
115203,1
115204,1
115205,3
115206,1
115207,0
114119,1
111090,1
111091,0
115210,1
114121,3
114122,2
115212,2
117633,1
111099,1
113033,1
111097,0
113031,3
113030,2
111092,2
106204,2
106203,1
106202,1
106201,2
116007,0
116006,1
116009,2
116008,1
117341,1
116012,0
116011,0
117103,0
116014,0
117102,0
116016,0
117104,0
116015,0
105106,2
107303,2
117330,3
116001,0
116002,0
116005,0
116004,3
104001,2
116227,0
116226,0
117319,2
116231,0
116236,0
105103,0
105104,3
105101,3
105102,3
116225,0
117139,0
118228,1
118229,2
118230,2
117141,2
117140,0
107106,2
107105,1
107104,2
107103,0
118219,0
117129,1
117128,2
118217,3
118218,1
118222,0
116043,0
118223,2
116042,0
118220,2
116045,1
117134,3
117133,0
118226,0
118227,2
118224,2
117138,0
118225,1
117130,0
116041,2
116040,0
118208,1
116029,0
117118,0
118209,1
116028,1
118206,0
118207,0
117119,0
118211,2
116032,2
118212,0
117123,0
116034,0
117122,0
116033,0
118215,0
117125,3
117124,0
118216,0
116035,1
116038,1
118213,3
116037,0
116030,0
